rownames.combined.counts.
00R-AC107638.2
0610005C13Rik
0610007P14Rik
0610009B22Rik
0610009E02Rik
0610009L18Rik
0610009O20Rik
0610010F05Rik
0610010K14Rik
0610012G03Rik
0610030E20Rik
0610037L13Rik
0610038B21Rik
0610039K10Rik
0610040B10Rik
0610040F04Rik
1110002E22Rik
1110002L01Rik
1110002O04Rik
1110003F10Rik
1110004E09Rik
1110004F10Rik
1110006O24Rik
1110008F13Rik
1110008L16Rik
1110008P14Rik
1110012L19Rik
1110017D15Rik
1110018N20Rik
1110019D14Rik
1110020A21Rik
1110032A03Rik
1110032F04Rik
1110034G24Rik
1110035H17Rik
1110037F02Rik
1110038B12Rik
1110038F14Rik
1110046J04Rik
1110051M20Rik
1110059E24Rik
1110059G10Rik
1110065P20Rik
1190002N15Rik
1190005I06Rik
1190007I07Rik
1300002E11Rik
1500002C15Rik
1500002F19Rik
1500004A13Rik
1500009C09Rik
1500009L16Rik
1500011B03Rik
1500011K16Rik
1500012K07Rik
1500015A07Rik
1500026H17Rik
1500035N22Rik
1600002H07Rik
1600002K03Rik
1600012H06Rik
1600014C10Rik
1600017P15Rik
1600020E01Rik
1600023N17Rik
1600029O15Rik
1700001G11Rik
1700001G17Rik
1700001L05Rik
1700001L19Rik
1700001O22Rik
1700003E16Rik
1700003G18Rik
1700003M07Rik
1700007G11Rik
1700007K13Rik
1700007L15Rik
1700007P06Rik
1700008J07Rik
1700008O03Rik
1700010I14Rik
1700012D14Rik
1700013F07Rik
1700016K19Rik
1700016P03Rik
1700017B05Rik
1700018L02Rik
1700019B03Rik
1700019D03Rik
1700020I14Rik
1700021F05Rik
1700021J08Rik
1700021N21Rik
1700022I11Rik
1700023F06Rik
1700023H06Rik
1700025G04Rik
1700027J19Rik
1700028B04Rik
1700028E10Rik
1700028J19Rik
1700028K03Rik
1700028P14Rik
1700029I15Rik
1700029J07Rik
1700030C14Rik
1700030J22Rik
1700030K09Rik
1700034H15Rik
1700034P13Rik
1700037C18Rik
1700037H04Rik
1700040D17Rik
1700040L02Rik
1700047K16Rik
1700048F04Rik
1700048O20Rik
1700052K11Rik
1700055D18Rik
1700056N10Rik
1700061G19Rik
1700066M21Rik
1700067K01Rik
1700080G11Rik
1700084E18Rik
1700086L19Rik
1700086O06Rik
1700086P04Rik
1700088E04Rik
1700095J03Rik
1700096K18Rik
1700101I11Rik
1700105P06Rik
1700109H08Rik
1700109K24Rik
1700112D23Rik
1700112J16Rik
1700113A16Rik
1700120C14Rik
1700123M08Rik
1700123O20Rik
1700124L16Rik
1810009A15Rik
1810010H24Rik
1810013L24Rik
1810014B01Rik
1810020O05Rik
1810021B22Rik
1810022K09Rik
1810024B03Rik
1810026B05Rik
1810030O07Rik
1810032O08Rik
1810037I17Rik
1810041H14Rik
1810041L15Rik
1810043G02Rik
1810044D09Rik
1810049J17Rik
1810055G02Rik
1810058I24Rik
1810059H22Rik
1810062O18Rik
2010001A14Rik
2010015M23Rik
2010107E04Rik
2010107G23Rik
2010109A12Rik
2010111I01Rik
2010204K13Rik
2010300C02Rik
2010315B03Rik
2010320M18Rik
2010320O07Rik
2200002D01Rik
2210008F06Rik
2210013O21Rik
2210016F16Rik
2210016L21Rik
2210406O10Rik
2210408F21Rik
2210408I21Rik
2210418O10Rik
2300009A05Rik
2310001H17Rik
2310001K24Rik
2310009A05Rik
2310009B15Rik
2310010J17Rik
2310011J03Rik
2310015A10Rik
2310022A10Rik
2310022B05Rik
2310026I22Rik
2310030G06Rik
2310031A07Rik
2310033P09Rik
2310034G01Rik
2310035C23Rik
2310036O22Rik
2310039H08Rik
2310040G07Rik
2310040G24Rik
2310043M15Rik
2310057M21Rik
2310058D17Rik
2310061I04Rik
2310068J16Rik
2310069G16Rik
2310074N15Rik
2310075C17Rik
2410002F23Rik
2410004B18Rik
2410004P03Rik
2410006H16Rik
2410015M20Rik
2410018L13Rik
2410021H03Rik
2410022M11Rik
2410080I02Rik
2410089E03Rik
2410131K14Rik
2410137M14Rik
2500002B13Rik
2500004C02Rik
2510002D24Rik
2510009E07Rik
2510016D11Rik
2510017J16Rik
2510039O18Rik
2510046G10Rik
2600006K01Rik
2610001J05Rik
2610002M06Rik
2610005L07Rik
2610008E11Rik
2610016A17Rik
2610020C07Rik
2610021A01Rik
2610035D17Rik
2610037D02Rik
2610044O15Rik8
2610203C20Rik
2610203C22Rik
2610301B20Rik
2610306M01Rik
2610316D01Rik
2610318N02Rik
2610507B11Rik
2610507I01Rik
2610524H06Rik
2700033N17Rik
2700038G22Rik
2700046G09Rik
2700049A03Rik
2700060E02Rik
2700062C07Rik
2700078F05Rik
2700081O15Rik
2700097O09Rik
2700099C18Rik
2810001G20Rik
2810002D19Rik
2810004N23Rik
2810006K23Rik
2810013P06Rik
2810021J22Rik
2810025M15Rik
2810029C07Rik
2810032G03Rik
2810039B14Rik
2810049E08Rik
2810402E24Rik
2810403A07Rik
2810403D21Rik
2810405F17Rik
2810408I11Rik
2810414N06Rik
2810425M01Rik
2810428I15Rik
2810428J06Rik
2810429I04Rik
2810454H06Rik
2810455O05Rik
2810459M11Rik
2810468N07Rik
2810474O19Rik
2900002M20Rik
2900005J15Rik
2900009J06Rik
2900011O08Rik
2900022M07Rik
2900026A02Rik
2900027M19Rik
2900037B21Rik
2900041M22Rik
2900052L18Rik
2900055J20Rik
2900060B14Rik
2900064F13Rik
2900064K03Rik
2900072N19Rik
2900076A07Rik
2900079G21Rik
2900089D17Rik
2900093K20Rik
2900097C17Rik
3000002C10Rik
3010001F23Rik
3100002H09Rik
3110001I22Rik
3110002H16Rik
3110009E18Rik
3110021N24Rik
3110035E14Rik
3110039M20Rik
3110040N11Rik
3110043O21Rik
3110045C21Rik
3110053B16Rik
3110056K07Rik
3110062M04Rik
3110070M22Rik
3110080E11Rik
3110082I17Rik
3110083C13Rik
3222401L13Rik
3300002I08Rik
3300002P13Rik
3632451O06Rik
3632454L22Rik
3830406C13Rik
3830408C21Rik
3930402G23Rik
4430402I18Rik
4632404H12Rik
4632411P08Rik
4632415L05Rik
4632427E13Rik
4731419I09Rik
4732414G09Rik
4732416N19Rik
4732419C18Rik
4732440D04Rik
4732463B04Rik
4732471J01Rik
4732487G21Rik
4732491K20Rik
4732496C06Rik
4831440E17Rik
4833412C05Rik
4833412K13Rik
4833413G10Rik
4833417C18Rik
4833418N02Rik
4833420G17Rik
4833421G17Rik
4833422C13Rik
4833439L19Rik
4833445I07Rik
4921504A21Rik
4921507P07Rik
4921511C10Rik
4921511H03Rik
4921513D11Rik
4921514A10Rik
4921524J17Rik
4921531C22Rik
4921539H07Rik
4930402H24Rik
4930404I05Rik
4930405A21Rik
4930412C18Rik
4930413G21Rik
4930417H01Rik
4930422M22Rik
4930430F08Rik
4930431P19Rik
4930432K21Rik
4930442H23Rik
4930444M15Rik
4930444P10Rik
4930447C04Rik
4930447F24Rik
4930447M23Rik
4930447N08Rik
4930451G09Rik
4930451I11Rik
4930452B06Rik
4930453N24Rik
4930455G09Rik
4930456G14Rik
4930458D05Rik
4930469G21Rik
4930470B04Rik
4930470G03Rik
4930470P17Rik
4930473A02Rik
4930479D17Rik
4930480K15Rik
4930480K23Rik
4930481A15Rik
4930481B07Rik
4930488L21Rik
4930500F10Rik
4930500M09Rik
4930503L19Rik
4930505N22Rik
4930506C21Rik
4930507D05Rik
4930509H03Rik
4930512B01Rik
4930513N10Rik
4930516B21Rik
4930518I15Rik
4930520O04Rik
4930522L14Rik
4930524B15Rik
4930524J08Rik
4930525G20Rik
4930526A20Rik
4930526F13Rik
4930532G15Rik
4930534D22Rik
4930539E08Rik
4930539J05Rik
4930539M17Rik
4930545L23Rik
4930547M16Rik
4930553P18Rik
4930555F03Rik
4930556M19Rik
4930560O18Rik
4930563E22Rik
4930570G19Rik
4930577N17Rik
4930578M01Rik
4930579G24Rik
4930579K19Rik
4930581F22Rik
4930589O11Rik
4930590J08Rik
4930593C16Rik
4930594M22Rik
4930597O21Rik
4931406C07Rik
4931406P16Rik
4931414P19Rik
4931415C17Rik
4931422A03Rik
4931428F04Rik
4931440F15Rik
4931440P22Rik
4932422M17Rik
4932438A13Rik
4932441J04Rik
4932442E05Rik
4932443L11Rik
4932702P03Rik
4933400F21Rik
4933404O12Rik
4933405L10Rik
4933406C10Rik
4933406I18Rik
4933406P04Rik
4933407I08Rik
4933407K13Rik
4933407L21Rik
4933408B17Rik
4933412A08Rik
4933413L06Rik
4933415A04Rik
4933417C20Rik
4933417D19Rik
4933417G07Rik
4933421O10Rik
4933423P22Rik
4933424G06Rik
4933425D22Rik
4933427D14Rik
4933427G23Rik
4933428G20Rik
4933428P19Rik
4933429H19Rik
4933431E20Rik
4933431G14Rik
4933431K14Rik
4933434E20Rik
4933439C10Rik
4933440N22Rik
5031415H12Rik
5031425E22Rik
5031425F14Rik
5031434O11Rik
5031439G07Rik
5033417F24Rik
5033430I15Rik
5330406M23Rik
5330413P13Rik
5330416C01Rik
5330417C22Rik
5330429C05Rik
5330434G04Rik
5330437M03Rik
5330438D12Rik
5330439A09Rik
5330439K02Rik
5430400D12Rik
5430402O13Rik
5430403G16Rik
5430405H02Rik
5430416N02Rik
5430434F05Rik
5530401A14Rik
5530601H04Rik
5730405O15Rik
5730408A14Rik
5730409E04Rik
5730422E09Rik
5730455P16Rik
5730480H06Rik
5730507A11Rik
5730508B09Rik
5730522E02Rik
5830408C22Rik
5830417I10Rik
5830444B04Rik
5830444F18Rik
5830454E08Rik
5830462I19Rik
5830487J09Rik
5930403N24Rik
5930409G06Rik
5930420M18Rik
5930430L01Rik
6030400A10Rik
6030419C18Rik
6030442K20Rik
6030443J06Rik
6030458C11Rik
6230400D17Rik
6330403K07Rik
6330403L08Rik
6330408A02Rik
6330409D20Rik
6330415B21Rik
6330418K02Rik
6330419E04Rik
6330549D23Rik
6330562C20Rik
6430511E19Rik
6430531B16Rik
6430548M08Rik
6430550D23Rik
6430562O15Rik
6430571L13Rik
6430573F11Rik
6430573P05Rik
6430584L05Rik
6430590A07Rik
6530402F18Rik
6530403H02Rik
6530409C15Rik
6530411M01Rik
6530437J22Rik
6720427I07Rik
6720464F23Rik
6720469O03Rik
6720482G16Rik
6720483E21Rik
6720489N17Rik
6820402A03Rik
6820408C15Rik
6820431F20Rik
8030445P17Rik
8030453O22Rik
8030462N17Rik
8030487O14Rik
8430422M14Rik
8430429K09Rik
8430432A02Rik
9030407P20Rik
9030612E09Rik
9030617O03Rik
9030624G23Rik
9030624J02Rik
9130011E15Rik
9130017K11Rik
9130019O22Rik
9130019P16Rik
9130023H24Rik
9130024F11Rik
9130213A22Rik
9130221H12Rik
9130230N09Rik
9130401M01Rik
9130604C24Rik
9230110C19Rik
9230112E08Rik
9230114K14Rik
9330020H09Rik
9330102E08Rik
9330104G04Rik
9330118I20Rik
9330121K16Rik
9330132A10Rik
9330136K24Rik
9330151L19Rik
9330154J02Rik
9330158H04Rik
9330159F19Rik
9330159M07Rik
9330160F10Rik
9330162012Rik
9330162G02Rik
9330171B17Rik
9330179D12Rik
9330182L06Rik
9330198I05Rik
9430015G10Rik
9430020K01Rik
9430021M05Rik
9430025C20Rik
9430037O13Rik
9430038I01Rik
9430041J12Rik
9430053O09Rik
9430060I03Rik
9430064I24Rik
9430065F17Rik
9430087J23Rik
9430091E24Rik
9430092D12Rik
9430097D07Rik
9430099M06Rik
9530003O04Rik
9530026P05Rik
9530027J09Rik
9530034E10Rik
9530036O11Rik
9530051G07Rik
9530052E02Rik
9530059O14Rik
9530062K07Rik
9530068E07Rik
9530077C05Rik
9530080O11Rik
9530082P21Rik
9530085L11Rik
9530097N15Rik
9630001P10Rik
9630010A21Rik
9830144P21Rik
9930012K11Rik
9930014A18Rik
9930021J03Rik
9930104L06Rik
A030001D20Rik
A130006I12Rik
A130010J15Rik
A130014A01Rik
A130050O07Rik
A130051J06Rik
A230004M16Rik
A230005M16Rik
A230006K03Rik
A230050P20Rik
A230056P14Rik
A230057D06Rik
A230059L01Rik
A230060F14Rik
A230065H16Rik
A230065N10Rik
A230072C01Rik
A230072E10Rik
A230077H06Rik
A230083G16Rik
A230083N12Rik
A230087F16Rik
A230103J11Rik
A230103L15Rik
A230107N01Rik
A2ml1
A330008L17Rik
A330009N23Rik
A330015K06Rik
A330023F24Rik
A330032B11Rik
A330033J07Rik
A330040F15Rik
A330041J22Rik
A330069E16Rik
A330069K06Rik
A330070K13Rik
A330074H02Rik
A330076H08Rik
A330093E20Rik
A330102I10Rik
A430005L14Rik
A430018G15Rik
A430027C01Rik
A430027H14Rik
A430033K04Rik
A430035B10Rik
A430046D13Rik
A430057M04Rik
A430073D23Rik
A430078I02Rik
A430093F15Rik
A430105I19Rik
A430105J06Rik
A430106G13Rik
A430108G06Rik
A4galt
A530017D24Rik
A530041M06Rik
A530058N18Rik
A530064N14Rik
A530072M11Rik
A530083M17Rik
A630023P12Rik
A630052C17Rik
A630072M18Rik
A630081D01Rik
A730011C13Rik
