colnames.combined.counts.
B1_T6_K7_S83_mouse1
D6_T3_H15_S91_mouse1
D6_T1_J3_S127_mouse1
D6_T8_C21_S205_mouse1
E3_T6_A10_S146_mouse1
F2_T1_N4_S224_mouse1
F2_T7_I16_S44_mouse1
F2_T9_N23_S171_mouse1
H4_T2_G12_S64_mouse1
B7_T6_A8_S144_mouse1
B7_T8_L19_S119_mouse1
B7_T1_C2_S258_mouse1
B7_T2_B8_S240_mouse1
D12_T3_N15_S235_mouse1
D12_T8_I21_S49_mouse1
D12_T1_P3_S271_mouse1
B4_T8_I19_S47_mouse1
B4_T9_J24_S76_mouse1
B4_T2_O7_S251_mouse1
D4_T8_A21_S157_mouse1
D4_T6_F9_S265_mouse1
D4_T9_L24_S124_mouse1
D2_T9_L23_S123_mouse1
D2_T2_E9_S13_mouse1
C8_T6_N8_S156_mouse1
C8_T8_I20_S48_mouse1
F11_T2_F11_S39_mouse1
F11_T3_E17_S21_mouse1
F11_T6_E11_S243_mouse1
F11_T1_G5_S57_mouse1
A6_T3_D13_S293_mouse1
A6_T2_E7_S11_mouse1
A6_T6_D7_S215_mouse1
A6_T8_O18_S190_mouse1
A6_T7_B13_S173_mouse1
H7_T1_K6_S154_mouse1
H7_T3_I18_S118_mouse1
H7_T2_J12_S136_mouse1
H2_T9_P23_S219_mouse1
H2_T6_D12_S220_mouse1
A2_T6_P6_S202_mouse1
E7_T3_E16_S20_mouse1
F3_T6_M10_S134_mouse1
F3_T2_N10_S230_mouse1
A7_T6_E7_S239_mouse1
A7_T8_P18_S214_mouse1
D9_T6_K9_S85_mouse1
D9_T2_L9_S181_mouse1
D9_T3_K15_S163_mouse1
D9_T8_F21_S277_mouse1
D9_T1_M3_S199_mouse1
E2_T9_M23_S147_mouse1
G4_T7_G17_S297_mouse1
G4_T3_J17_S141_mouse1
G4_T6_J11_S63_mouse1
G4_T9_O24_S196_mouse1
E4_T6_B10_S170_mouse1
E4_T9_M24_S148_mouse1
G3_T9_G24_S4_mouse1
F1_T6_K10_S86_mouse1
F1_T9_F23_S279_mouse1
F1_T2_L10_S182_mouse1
F1_T7_H16_S20_mouse1
F1_T1_M4_S200_mouse1
B10_T6_D8_S216_mouse1
E12_T6_J10_S62_mouse1
E12_T1_L4_S176_mouse1
E12_T3_J16_S140_mouse1
E12_T8_D22_S230_mouse1
B11_T8_P19_S215_mouse1
B11_T2_F8_S36_mouse1
G2_T3_H17_S93_mouse1
G2_T9_O23_S195_mouse1
E8_T3_F16_S44_mouse1
E8_T8_P21_S217_mouse1
E8_T6_F10_S266_mouse1
E8_T1_H4_S80_mouse1
A4_T6_B7_S167_mouse1
A4_T8_M18_S142_mouse1
A4_T1_D1_S281_mouse1
A4_T9_I24_S52_mouse1
C4_T3_J14_S138_mouse1
C4_T9_K24_S100_mouse1
C4_T2_K8_S156_mouse1
C4_T8_E20_S252_mouse1
C4_T1_L2_S174_mouse1
E9_T1_I4_S104_mouse1
E9_T7_D16_S224_mouse1
E9_T8_A22_S158_mouse1
E9_T6_G10_S290_mouse1
H3_T6_E12_S244_mouse1
H3_T7_A18_S154_mouse1
H3_T2_F12_S40_mouse1
H3_T9_H24_S28_mouse1
E1_T6_O9_S181_mouse1
H9_T3_K18_S166_mouse1
H9_T7_G18_S298_mouse1
C3_T6_I8_S36_mouse1
C3_T7_G14_S294_mouse1
C3_T1_K2_S150_mouse1
A5_T2_D7_S287_mouse1
A5_T8_N18_S166_mouse1
A8_T7_D13_S221_mouse1
E10_T2_I10_S110_mouse1
E10_T6_H10_S14_mouse1
E10_T8_B22_S182_mouse1
E10_T3_H16_S92_mouse1
D1_T6_C9_S193_mouse1
D1_T2_D9_S289_mouse1
D1_T1_E3_S7_mouse1
A1_T7_M12_S136_mouse1
A1_T3_O12_S256_mouse1
A1_T2_P6_S274_mouse1
A1_T6_O6_S178_mouse1
D7_T3_I15_S115_mouse1
D7_T6_I9_S37_mouse1
D7_T8_D21_S229_mouse1
H6_T2_I12_S112_mouse1
H6_T6_H12_S16_mouse1
H6_T7_D18_S226_mouse1
G1_T9_G23_S3_mouse1
G1_T3_G17_S69_mouse1
G1_T6_G11_S291_mouse1
G6_T2_M11_S207_mouse1
G9_T2_P11_S279_mouse1
G9_T7_L17_S117_mouse1
G9_T6_O11_S183_mouse1
G9_T3_O17_S261_mouse1
F12_T1_H5_S81_mouse1
F12_T3_F17_S45_mouse1
F12_T2_G11_S63_mouse1
F10_T6_D11_S219_mouse1
F10_T7_A17_S153_mouse1
E6_T7_A16_S152_mouse1
E6_T8_N21_S169_mouse1
D11_T6_M9_S133_mouse1
D11_T1_O3_S247_mouse1
D11_T2_N9_S229_mouse1
G8_T6_N11_S159_mouse1
G8_T7_K17_S93_mouse1
F6_T6_P10_S206_mouse1
F6_T3_P16_S284_mouse1
F6_T7_M16_S140_mouse1
H1_T7_O17_S189_mouse1
H1_T6_C12_S196_mouse1
H1_T9_H23_S27_mouse1
A10_T8_C19_S203_mouse1
H8_T3_J18_S142_mouse1
H8_T5_K6_S82_mouse1
F7_T1_C5_S261_mouse1
B12_T8_A20_S156_mouse1
B12_T6_F8_S264_mouse1
F4_T6_N10_S158_mouse1
F4_T1_P4_S272_mouse1
G10_T6_P11_S207_mouse1
G10_T3_P17_S285_mouse1
B3_T7_K13_S89_mouse1
B3_T9_B24_S184_mouse1
B5_T6_O7_S179_mouse1
B5_T1_A2_S210_mouse1
E5_T1_E4_S8_mouse1
E5_T7_P15_S211_mouse1
C5_T2_L8_S180_mouse1
C5_T6_K8_S84_mouse1
B9_T7_A14_S150_mouse1
B9_T3_C14_S270_mouse1
B9_T8_N19_S167_mouse1
A11_T8_D19_S227_mouse1
C7_T3_M14_S210_mouse1
C7_T6_M8_S132_mouse1
C7_T8_H20_S24_mouse1
F5_T6_O10_S182_mouse1
F8_T2_C11_S267_mouse1
H10_T7_H18_S22_mouse1
C12_T8_M20_S144_mouse1
C12_T2_C9_S265_mouse1
D10_T8_G21_S1_mouse1
D10_T3_L15_S187_mouse1
D10_T6_L9_S109_mouse1
C6_T8_G20_S300_mouse1
G11_T3_A18_S226_mouse1
G5_T7_H17_S21_mouse1
G5_T6_K11_S87_mouse1
G5_T2_L11_S183_mouse1
C2_T2_I8_S108_mouse1
C2_T9_K23_S99_mouse1
C9_T8_J20_S72_mouse1
C9_T6_O8_S180_mouse1
C9_T1_A3_S211_mouse1
C9_T2_P8_S276_mouse1
C1_T6_G8_S288_mouse1
C1_T9_C23_S207_mouse1
E11_T8_C22_S206_mouse1
E11_T6_I10_S38_mouse1
D5_T8_B21_S181_mouse1
D5_T6_G9_S289_mouse1
D5_T7_E15_S247_mouse1
A3_T6_A7_S143_mouse1
C10_T6_P8_S204_mouse1
C11_T8_L20_S120_mouse1
C11_T2_B9_S241_mouse1
D8_T6_J9_S61_mouse1
A12_T8_E19_S251_mouse1
A12_T1_L1_S173_mouse1
A9_T8_B19_S179_mouse1
B8_T6_B8_S168_mouse1
B8_T8_M19_S143_mouse1
H11_T2_N12_S232_mouse1
D3_T8_P20_S216_mouse1
D3_T7_C15_S199_mouse1
B2_T8_G19_S299_mouse1
H5_T7_C18_S202_mouse1
FC_pos_p1_G22_S200_mouse2
FC_neg_p3_G2_S16_mouse2
FC_pos_p10_J9_S188_mouse2
FC_pos_p1_E17_S149_mouse2
FC_neg_p3_P5_S226_mouse2
FC_neg_p2_M9_S93_mouse2
FC_pos_p1_F14_S169_mouse2
FC_neg_p2_J18_S33_mouse2
FC_pos_p1_N13_S52_mouse2
FC_pos_p1_C20_S106_mouse2
FC_pos_p1_L20_S13_mouse2
FC_pos_p1_B14_S77_mouse2
FC_neg_p2_N5_S112_mouse2
FC_pos_p1_G13_S191_mouse2
FC_pos_p1_A18_S58_mouse2
FC_neg_p2_A8_S116_mouse2
FC_neg_p3_I13_S73_mouse2
FC_pos_p1_L23_S16_mouse2
FC_pos_p1_P3_S88_mouse2
FC_pos_p1_M11_S27_mouse2
FC_pos_p10_B8_S3_mouse2
FC_pos_p1_A19_S59_mouse2
FC_neg_p3_L18_S147_mouse2
FC_pos_p1_F20_S175_mouse2
FC_neg_p3_H21_S58_mouse2
FC_pos_p1_F9_S164_mouse2
FC_neg_p2_O17_S147_mouse2
FC_pos_p1_I11_S235_mouse2
FC_pos_p1_O15_S77_mouse2
FC_neg_p2_A23_S131_mouse2
FC_pos_p1_D12_S121_mouse2
FC_neg_p3_G22_S36_mouse2
FC_pos_p1_K9_S279_mouse2
FC_pos_p1_B4_S67_mouse2
FC_pos_p1_H1_S202_mouse2
FC_neg_p3_P19_S240_mouse2
FC_pos_p10_O2_S296_mouse2
FC_pos_p1_I12_S236_mouse2
FC_pos_p10_I7_S163_mouse2
FC_pos_p1_E22_S154_mouse2
FC_pos_p1_D19_S128_mouse2
FC_neg_p3_P15_S236_mouse2
FC_pos_p1_E14_S146_mouse2
FC_pos_p1_H17_S218_mouse2
FC_pos_p1_D14_S123_mouse2
FC_pos_p1_B15_S78_mouse2
FC_pos_p1_L6_S299_mouse2
FC_pos_p10_N4_S275_mouse2
FC_pos_p1_D9_S118_mouse2
FC_neg_p3_H20_S57_mouse2
FC_pos_p1_P18_S103_mouse2
FC_pos_p1_K19_S289_mouse2
FC_neg_p3_K7_S113_mouse2
FC_pos_p1_P14_S99_mouse2
FC_pos_p1_N18_S57_mouse2
FC_pos_p1_A14_S54_mouse2
FC_pos_p10_M3_S251_mouse2
FC_neg_p2_N15_S122_mouse2
FC_pos_p1_J15_S262_mouse2
FC_neg_p3_C14_S236_mouse2
FC_pos_p1_K6_S276_mouse2
FC_pos_p10_C3_S21_mouse2
FC_pos_p1_I23_S247_mouse2
FC_pos_p1_P20_S105_mouse2
FC_pos_p10_L9_S234_mouse2
FC_pos_p1_L16_S9_mouse2
FC_neg_p3_D20_S265_mouse2
FC_pos_p1_I19_S243_mouse2
FC_pos_p1_G9_S187_mouse2
FC_pos_p1_H23_S224_mouse2
FC_pos_p10_F10_S97_mouse2
FC_pos_p1_I9_S233_mouse2
FC_pos_p10_M7_S255_mouse2
FC_pos_p1_C15_S101_mouse2
FC_pos_p1_O12_S74_mouse2
FC_pos_p1_N7_S46_mouse2
FC_pos_p1_I22_S246_mouse2
FC_pos_p1_K23_S293_mouse2
FC_pos_p1_E13_S145_mouse2
FC_pos_p1_E12_S144_mouse2
FC_pos_p10_F9_S96_mouse2
